split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.8211,0.8153,0.8624,0.8222,19.0,0.4043,0.0055494205095052,0.504875406283857,26.8838,23.9611
1,0.8532,0.811,0.8853,0.9384,18.0,0.3913,0.0054752458002449,0.5371549893842887,26.8441,24.1362
3,0.8211,0.7968,0.8257,0.8105,19.0,0.4318,0.0054070025584165,0.5118790496760259,26.8133,23.9328
2,0.7798,0.7396,0.8532,0.8608,17.0,0.3696,0.0053213737984271,0.5,26.8089,24.0117
5,0.8295,0.7544,0.8802,0.9227,20.0,0.4444,0.0055362669110102,0.5225806451612903,26.8969,24.1692
average,0.82094,0.78342,0.86136,0.8709200000000001,18.6,0.40828,0.0054578619155207795,0.5152980181010924,26.849399999999996,24.0422
