split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.7294,0.5764,0.8624,0.8222,13.0,0.2889,0.0524963474110414,1.0,28.2697,23.9611
1,0.7156,0.5481,0.8853,0.9384,13.0,0.2653,0.0508192568043528,1.0,27.9056,24.1362
3,0.6972,0.5328,0.8257,0.8105,9.0,0.1837,0.0515227033729918,1.0,27.9565,23.9328
2,0.7248,0.5558,0.8532,0.8608,12.0,0.2609,0.0534082904100211,1.0,28.1462,24.0117
5,0.7143,0.5543,0.8802,0.9227,13.0,0.2766,0.0538673364374636,1.0,28.4124,24.1692
average,0.71626,0.5534800000000001,0.86136,0.8709200000000001,12.0,0.25508000000000003,0.052422786887174146,1.0,28.138079999999995,24.0422
