split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.9433,0.9609,0.978,0.9947,49.0,0.5506,0.0047302663251347,0.5471226021684737,28.7466,23.3158
1,0.9457,0.9675,0.9838,0.9943,51.0,0.5862,0.0046659996518097,0.5383314543404735,28.6773,23.4355
3,0.9572,0.9734,0.9827,0.9958,53.0,0.631,0.0047974750587934,0.5518199499861073,28.7977,23.2124
2,0.9329,0.9458,0.9665,0.9852,50.0,0.5952,0.0047697432738997,0.5595369349503859,28.7766,23.1216
5,0.9387,0.9579,0.9792,0.9945,51.0,0.6,0.0047333640814601,0.5656344203891477,28.7925,23.1922
average,0.9435600000000001,0.9611000000000001,0.97804,0.9929,50.8,0.5926,0.00473936967821952,0.5524890723669176,28.758139999999997,23.2555
