split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.5,0.236,0.8624,0.8222,9.0,0.1957,0.0734755863929188,1.0,28.0341,23.9611
1,0.4679,0.254,0.8853,0.9384,10.0,0.2174,0.0711538628028285,1.0,28.1503,24.1362
3,0.4954,0.2295,0.8257,0.8105,10.0,0.2128,0.071937354782097,1.0,28.5513,23.9328
2,0.5,0.2412,0.8532,0.8608,14.0,0.3111,0.0731785790649032,1.0,28.409,24.0117
5,0.3226,0.1682,0.8802,0.9227,14.0,0.2857,0.0714708904850461,1.0,28.3006,24.1692
average,0.45718,0.22578,0.86136,0.8709200000000001,11.4,0.24454000000000004,0.07224325470555873,1.0,28.28906,24.0422
