split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.9456,0.9547,0.978,0.9947,48.0,0.5926,0.0047315444963616,0.5505960632104242,28.7501,23.3158
1,0.9445,0.9657,0.9838,0.9943,52.0,0.619,0.0046759493576969,0.5442825112107623,28.6804,23.4355
3,0.9561,0.9735,0.9827,0.9958,53.0,0.631,0.0047862582887934,0.5489100055897149,28.7747,23.2124
2,0.9364,0.9473,0.9665,0.9852,51.0,0.6296,0.0047705583409439,0.5564159292035398,28.7808,23.1216
5,0.9398,0.9582,0.9792,0.9945,51.0,0.622,0.0047312669744927,0.5564361847499317,28.7798,23.1922
average,0.9444799999999999,0.9598799999999998,0.97804,0.9929,51.0,0.61884,0.0047391154916577,0.5513281387928746,28.753159999999998,23.2555
