split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.8356,0.8444,0.978,0.9947,39.0,0.5065,0.0203587186309946,0.9831932773109244,33.714,23.3158
1,0.8023,0.8094,0.9838,0.9943,42.0,0.5753,0.020586454300676,0.9831756046267088,33.6434,23.4355
3,0.8566,0.794,0.9827,0.9958,42.0,0.5455,0.0212334501759761,0.9868282402528978,33.6634,23.2124
2,0.8578,0.86,0.9665,0.9852,44.0,0.5789,0.0203752352955495,0.97854526425955,33.7484,23.1216
5,0.7859,0.7873,0.9792,0.9945,44.0,0.5301,0.0209403028065833,0.9839600315540364,33.7521,23.1922
average,0.82764,0.8190199999999999,0.97804,0.9929,42.2,0.54726,0.0206988322419559,0.9831404836008234,33.70426,23.2555
