split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.5229,0.4021,0.8624,0.8222,13.0,0.2766,0.012049049474218,0.5509761388286334,28.254,23.9611
1,0.5459,0.4181,0.8853,0.9384,12.0,0.25,0.0119521559104819,0.5904761904761905,28.3295,24.1362
3,0.5275,0.3776,0.8257,0.8105,9.0,0.1957,0.0116285319521863,0.5898520084566596,28.2769,23.9328
2,0.5046,0.3775,0.8532,0.8608,9.0,0.1837,0.0120007279898375,0.5856236786469344,28.2683,24.0117
5,0.4977,0.3505,0.8802,0.9227,8.0,0.1667,0.0120353423797862,0.5732349841938883,28.3409,24.1692
average,0.51972,0.38516,0.86136,0.8709200000000001,10.2,0.21454,0.01193316154130198,0.5780326001204613,28.293919999999996,24.0422
