split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
4,0.8257,0.8203,0.8624,0.8222,19.0,0.4222,0.0055608932494307,0.544290288153682,26.8794,23.9611
1,0.8532,0.8085,0.8853,0.9384,18.0,0.4,0.0055123335345452,0.5402542372881356,26.8535,24.1362
3,0.8211,0.7953,0.8257,0.8105,20.0,0.4444,0.0054099727893718,0.4837310195227766,26.816,23.9328
2,0.7844,0.7481,0.8532,0.8608,17.0,0.3617,0.0053609132566126,0.5197860962566845,26.8131,24.0117
5,0.8249,0.7533,0.8802,0.9227,18.0,0.4,0.0055449078211637,0.5135427952329361,26.8819,24.1692
average,0.8218599999999998,0.7851,0.86136,0.8709200000000001,18.4,0.40565999999999997,0.005477804130224801,0.5203208872908429,26.848779999999998,24.0422
